,wl,nr,Kab,Kca,Ks,Kw,Kdm,phiI,phiII,KcaV,KcaZ,Kant,KcaV2,phi,nw,cbc,prot,GSV_dim0,GSV_dim1,GSV_dim2
0,400,1.5135,0.0648815,0.16734,0.527,5.8e-05,110.0,0.0,0.0,0.16734,0.16734,0.0666747,0.16734,0.0,1.34,127.93,0.0,0.87845,0.46703,0.56505
1,401,1.5131,0.0667318,0.167607,0.526,5.85e-05,104.0,0.0,0.0,0.167607,0.167607,0.0640556,0.167607,0.0,1.34,120.93299999999999,0.0,0.8809750000000001,0.46814100000000003,0.564975
2,402,1.5126,0.0685513,0.167184,0.525,5.9e-05,98.0,0.0,0.0,0.167184,0.167184,0.0619332,0.167184,0.0,1.34,114.26299999999999,0.0,0.8835000000000001,0.469252,0.5649000000000001
3,403,1.5121,0.0699821,0.167207,0.524,5.99e-05,92.4,0.0,0.0,0.167207,0.167207,0.0599215,0.167207,0.0,1.34,107.802,0.0,0.8860249999999998,0.470363,0.564825
4,404,1.5116,0.0709,0.167613,0.523,6.1e-05,87.1,0.0,0.0,0.167613,0.167613,0.058277,0.167613,0.0,1.34,101.609,0.0,0.88855,0.47147399999999995,0.5647500000000001
5,405,1.5111,0.0713334,0.167596,0.522,6.2e-05,82.3,0.0,0.0,0.167596,0.167596,0.0566994,0.167596,0.0,1.34,95.9885,0.0,0.891075,0.47258500000000003,0.564675
6,406,1.5105,0.0713202,0.167513,0.521,6.3e-05,78.1,0.0,0.0,0.167513,0.167513,0.0553657,0.167513,0.0,1.34,91.0322,0.0,0.8936,0.473696,0.5646
7,407,1.51,0.0712604,0.167426,0.52,6.4e-05,74.0,0.0,0.0,0.167426,0.167426,0.0541628,0.167426,0.0,1.34,86.3441,0.0,0.8961249999999998,0.474807,0.564525
8,408,1.5095,0.0712231,0.167239,0.519,6.5e-05,70.1,0.0,0.0,0.167239,0.167239,0.0531158,0.167239,0.0,1.34,81.7844,0.0,0.89865,0.475918,0.56445
9,409,1.5089,0.071228,0.166682,0.518,6.6e-05,66.5,0.0,0.0,0.166682,0.166682,0.0519797,0.166682,0.0,1.34,77.5978,0.0,0.901175,0.47702900000000004,0.5643750000000001
10,410,1.5084,0.0714914,0.165882,0.517,6.7e-05,63.0,0.0,0.0,0.165882,0.165882,0.0509515,0.165882,0.0,1.34,73.4695,0.0,0.9037,0.47814,0.5643
11,411,1.5078,0.0718877,0.165517,0.516,6.79e-05,59.5,0.0,0.0,0.165517,0.165517,0.0501165,0.165517,0.0,1.34,69.4345,0.0,0.905654,0.47913500000000003,0.5631400000000001
12,412,1.5073,0.0720185,0.165446,0.515,6.9e-05,56.2,0.0,0.0,0.165446,0.165446,0.0493873,0.165446,0.0,1.34,65.4928,0.0,0.9076080000000001,0.48013000000000006,0.56198
13,413,1.5068,0.0718268,0.165689,0.514,7.05e-05,53.0,0.0,0.0,0.165689,0.165689,0.0486038,0.165689,0.0,1.34,61.8077,0.0,0.9095619999999999,0.481125,0.56082
14,414,1.5062,0.0714934,0.166088,0.513,7.2e-05,50.0,0.0,0.0,0.166088,0.166088,0.0478761,0.166088,0.0,1.34,58.3208,0.0,0.911516,0.48212,0.55966
15,415,1.5057,0.0711319,0.166189,0.512,7.31e-05,47.2,0.0,0.0,0.166189,0.166189,0.0473795,0.166189,0.0,1.34,55.0788,0.0,0.91347,0.483115,0.5585
16,416,1.5052,0.0707629,0.166288,0.511,7.4e-05,44.6,0.0,0.0,0.166288,0.166288,0.0468987,0.166288,0.0,1.34,52.0467,0.0,0.915424,0.48411000000000004,0.55734
17,417,1.5047,0.0704367,0.166456,0.51,7.49e-05,42.2,0.0,0.0,0.166456,0.166456,0.0465315,0.166456,0.0,1.34,49.2129,0.0,0.917378,0.485105,0.55618
18,418,1.5043,0.070094,0.166622,0.509,7.6e-05,40.0,0.0,0.0,0.166622,0.166622,0.0461572,0.166622,0.0,1.34,46.6006,0.0,0.919332,0.48610000000000003,0.55502
19,419,1.5038,0.0698404,0.166873,0.508,7.74e-05,37.8,0.0,0.0,0.166873,0.166873,0.0457923,0.166873,0.0,1.34,44.0817,0.0,0.9212859999999999,0.487095,0.55386
20,420,1.5034,0.0698193,0.167164,0.507,7.9e-05,35.7,0.0,0.0,0.167164,0.167164,0.0454286,0.167164,0.0,1.34,41.5977,0.0,0.92324,0.48809,0.5527
21,421,1.503,0.0700539,0.167544,0.506,8.06e-05,33.6,0.0,0.0,0.167544,0.167544,0.0451439,0.167544,0.0,1.34,39.2071,0.0,0.925008,0.489267,0.550233
22,422,1.5026,0.0702815,0.16798,0.505,8.2e-05,31.7,0.0,0.0,0.16798,0.16798,0.0448451,0.16798,0.0,1.34,36.968,0.0,0.926776,0.49044400000000005,0.547766
23,423,1.5023,0.070503,0.168439,0.504,8.3e-05,29.9,0.0,0.0,0.168439,0.168439,0.0445356,0.168439,0.0,1.34,34.9038,0.0,0.9285439999999999,0.491621,0.545299
24,424,1.502,0.0704727,0.168599,0.503,8.4e-05,28.3,0.0,0.0,0.168599,0.168599,0.0442495,0.168599,0.0,1.34,33.0263,0.0,0.930312,0.492798,0.542832
25,425,1.5016,0.0705277,0.168474,0.502,8.55e-05,26.8,0.0,0.0,0.168474,0.168474,0.0441159,0.168474,0.0,1.34,31.241999999999997,0.0,0.93208,0.49397500000000005,0.540365
26,426,1.5013,0.0708095,0.168142,0.501,8.7e-05,25.4,0.0,0.0,0.168142,0.168142,0.0439576,0.168142,0.0,1.34,29.5627,0.0,0.933848,0.49515200000000004,0.537898
27,427,1.5011,0.0713124,0.168,0.5,8.8e-05,24.0,0.0,0.0,0.168,0.168,0.043874,0.168,0.0,1.34,28.0117,0.0,0.935616,0.496329,0.535431
28,428,1.5008,0.0716223,0.167725,0.499,8.9e-05,22.8,0.0,0.0,0.167725,0.167725,0.0438046,0.167725,0.0,1.34,26.5423,0.0,0.937384,0.497506,0.532964
